"n","kappa0","type1_error","type2_error"
600,0.53,0.035,0.013
700,0.53,0.017,0.004
800,0.53,0.001,0
900,0.53,0.001,0.002
1000,0.53,0,0
1100,0.53,0,0
1200,0.53,0,0.001
1300,0.53,0,0
1400,0.53,0,0
1500,0.53,0,0
1600,0.53,0,0
1700,0.53,0,0
1800,0.53,0,0
1900,0.53,0,0
2000,0.53,0,0
2100,0.53,0,0
2200,0.53,0,0
2300,0.53,0,0
2400,0.53,0,0
2500,0.53,0,0
2600,0.53,0,0
2700,0.53,0,0
2800,0.53,0,0
2900,0.53,0,0
3000,0.53,0,0
500,0.54,0.103,0.023
600,0.54,0.033,0.00900000000000001
700,0.54,0.008,0.00600000000000001
800,0.54,0.001,0
900,0.54,0,0.003
1000,0.54,0,0.001
1100,0.54,0,0
1200,0.54,0,0
1300,0.54,0,0
1400,0.54,0,0
1500,0.54,0,0
1600,0.54,0,0
1700,0.54,0,0
1800,0.54,0,0
1900,0.54,0,0
2000,0.54,0,0
2100,0.54,0,0
2200,0.54,0,0
2300,0.54,0,0
2400,0.54,0,0
2500,0.54,0,0
2600,0.54,0,0
2700,0.54,0,0
2800,0.54,0,0
2900,0.54,0,0
3000,0.54,0,0
500,0.55,0.085,0.022
600,0.55,0.021,0.01
700,0.55,0.007,0.00700000000000001
800,0.55,0,0.001
900,0.55,0,0.002
1000,0.55,0,0
1100,0.55,0,0.001
1200,0.55,0,0
1300,0.55,0,0
1400,0.55,0,0
1500,0.55,0,0
1600,0.55,0,0
1700,0.55,0,0
1800,0.55,0,0
1900,0.55,0,0
2000,0.55,0,0
2100,0.55,0,0
2200,0.55,0,0
2300,0.55,0,0
2400,0.55,0,0
2500,0.55,0,0
2600,0.55,0,0
2700,0.55,0,0
2800,0.55,0,0
2900,0.55,0,0
3000,0.55,0,0
