"n","kappa0","type1_error","type2_error"
500,0.2,1,0
600,0.2,1,0
700,0.2,1,0
800,0.2,1,0
900,0.2,1,0
1000,0.2,1,0
1100,0.2,1,0
1200,0.2,1,0
1300,0.2,1,0
1400,0.2,1,0
1500,0.2,1,0
1600,0.2,1,0.004
1700,0.2,1,0.017
1800,0.2,1,0.08
1900,0.2,1,0.246
2000,0.2,1,0.451
2100,0.2,1,0.694
2200,0.2,1,0.873
2300,0.2,1,0.94
2400,0.2,1,0.989
2500,0.2,1,0.998
2600,0.2,1,1
2700,0.2,1,0.999
2800,0.2,1,0.996
2900,0.2,1,0.994
3000,0.2,1,0.994
500,0.21,1,0
600,0.21,1,0
700,0.21,1,0
800,0.21,1,0
900,0.21,1,0
1000,0.21,1,0
1100,0.21,1,0
1200,0.21,1,0
1300,0.21,1,0
1400,0.21,1,0.003
1500,0.21,1,0.00900000000000001
1600,0.21,1,0.0580000000000001
1700,0.21,1,0.179
1800,0.21,1,0.387
1900,0.21,1,0.661
2000,0.21,1,0.889
2100,0.21,1,0.97
2200,0.21,1,0.992
2300,0.21,1,1
2400,0.21,1,0.999
2500,0.21,1,0.997
2600,0.21,1,0.998
2700,0.21,1,0.993
2800,0.21,1,0.977
2900,0.21,1,0.963
3000,0.21,1,0.934
500,0.22,1,0
600,0.22,1,0
700,0.22,1,0
800,0.22,1,0
900,0.22,1,0
1000,0.22,1,0
1100,0.22,1,0
1200,0.22,1,0
1300,0.22,1,0.001
1400,0.22,1,0.022
1500,0.22,1,0.08
1600,0.22,1,0.292
1700,0.22,1,0.561
1800,0.22,1,0.845
1900,0.22,1,0.948
2000,0.22,1,0.989
2100,0.22,1,0.999
2200,0.22,1,0.998
2300,0.22,1,0.998
2400,0.22,1,0.994
2500,0.22,1,0.983
2600,0.22,1,0.975
2700,0.22,1,0.948
2800,0.22,1,0.919
2900,0.22,1,0.876
3000,0.22,1,0.75
500,0.23,1,0
600,0.23,1,0
700,0.23,1,0
800,0.23,1,0
900,0.23,1,0
1000,0.23,1,0
1100,0.23,1,0
1200,0.23,1,0.003
1300,0.23,1,0.016
1400,0.23,1,0.114
1500,0.23,1,0.38
1600,0.23,1,0.692
1700,0.23,1,0.913
1800,0.23,1,0.986
1900,0.23,1,0.997
2000,0.23,1,1
2100,0.23,1,0.999
2200,0.23,1,0.989
2300,0.23,1,0.989
2400,0.23,1,0.961
2500,0.23,1,0.929
2600,0.23,1,0.868
2700,0.23,1,0.784
2800,0.23,1,0.694
2900,0.23,1,0.551
3000,0.23,1,0.473
500,0.24,1,0
600,0.24,1,0
700,0.24,1,0
800,0.24,1,0
900,0.24,1,0
1000,0.24,1,0
1100,0.24,1,0.002
1200,0.24,1,0.035
1300,0.24,1,0.133
1400,0.24,1,0.428
1500,0.24,1,0.752
1600,0.24,1,0.935
1700,0.24,1,0.993
1800,0.24,1,0.999
1900,0.24,1,0.999
2000,0.24,1,0.995
2100,0.24,1,0.984
2200,0.24,1,0.962
2300,0.24,1,0.915
2400,0.24,1,0.841
2500,0.24,1,0.752
2600,0.24,1,0.646
2700,0.24,1,0.508
2800,0.24,1,0.375
2900,0.24,1,0.281
3000,0.24,1,0.179
500,0.25,1,0
600,0.25,1,0
700,0.25,1,0
800,0.25,1,0
900,0.25,1,0
1000,0.25,1,0.001
1100,0.25,1,0.023
1200,0.25,1,0.132
1300,0.25,1,0.428
1400,0.25,1,0.798
1500,0.25,1,0.959
1600,0.25,1,0.994
1700,0.25,1,0.998
1800,0.25,1,0.995
1900,0.25,1,0.989
2000,0.25,1,0.96
2100,0.25,1,0.913
2200,0.25,1,0.852
2300,0.25,1,0.715
2400,0.25,1,0.58
2500,0.25,1,0.476
2600,0.25,1,0.321
2700,0.25,1,0.233
2800,0.25,1,0.143
2900,0.25,1,0.07
3000,0.25,1,0.047
500,0.26,1,0
600,0.26,1,0
700,0.26,1,0
800,0.26,1,0
900,0.26,1,0
1000,0.26,1,0.00800000000000001
1100,0.26,1,0.104
1200,0.26,1,0.445
1300,0.26,1,0.795
1400,0.26,1,0.975
1500,0.26,1,0.995
1600,0.26,1,0.999
1700,0.26,1,0.993
1800,0.26,1,0.977
1900,0.26,1,0.937
2000,0.26,1,0.859
2100,0.26,1,0.752
2200,0.26,1,0.612
2300,0.26,1,0.485
2400,0.26,1,0.309
2500,0.26,1,0.201
2600,0.26,1,0.089
2700,0.26,1,0.069
2800,0.26,1,0.026
2900,0.26,1,0.00800000000000001
3000,0.26,1,0.00800000000000001
500,0.27,1,0
600,0.27,1,0
700,0.27,1,0
800,0.27,1,0
900,0.27,1,0.005
1000,0.27,1,0.07
1100,0.27,1,0.373
1200,0.27,1,0.801
1300,0.27,1,0.958
1400,0.27,1,0.998
1500,0.27,1,0.996
1600,0.27,1,0.985
1700,0.27,1,0.955
1800,0.27,1,0.898
1900,0.27,1,0.816
2000,0.27,1,0.661
2100,0.27,1,0.503
2200,0.27,1,0.346
2300,0.27,1,0.19
2400,0.27,1,0.11
2500,0.27,1,0.051
2600,0.27,1,0.033
2700,0.27,1,0.017
2800,0.27,1,0.003
2900,0.27,1,0.003
3000,0.27,1,0
500,0.28,1,0
600,0.28,1,0
700,0.28,1,0
800,0.28,1,0.001
900,0.28,1,0.03
1000,0.28,1,0.26
1100,0.28,1,0.691
1200,0.28,1,0.956
1300,0.28,1,0.999
1400,0.28,1,0.998
1500,0.28,1,0.979
1600,0.28,1,0.952
1700,0.28,1,0.877
1800,0.28,1,0.734
1900,0.28,1,0.564
2000,0.28,1,0.409
2100,0.28,1,0.254
2200,0.28,1,0.137
2300,0.28,1,0.0620000000000001
2400,0.28,1,0.025
2500,0.28,1,0.00900000000000001
2600,0.28,1,0.00600000000000001
2700,0.28,1,0.001
2800,0.28,1,0.001
2900,0.28,1,0
3000,0.28,1,0
500,0.29,1,0
600,0.29,1,0
700,0.29,1,0.001
800,0.29,1,0.005
900,0.29,1,0.121
1000,0.29,1,0.546
1100,0.29,1,0.896
1200,0.29,1,0.992
1300,0.29,1,0.997
1400,0.29,1,0.978
1500,0.29,1,0.952
1600,0.29,1,0.839
1700,0.29,1,0.684
1800,0.29,1,0.502
1900,0.29,1,0.314
2000,0.29,1,0.158
2100,0.29,1,0.069
2200,0.29,1,0.03
2300,0.29,1,0.017
2400,0.29,1,0.002
2500,0.29,1,0.002
2600,0.29,1,0.001
2700,0.29,1,0
2800,0.29,1,0
2900,0.29,1,0
3000,0.29,1,0
500,0.3,1,0
600,0.3,1,0
700,0.3,1,0
800,0.3,1,0.046
900,0.3,1,0.35
1000,0.3,1,0.833
1100,0.3,1,0.987
1200,0.3,1,0.996
1300,0.3,1,0.983
1400,0.3,1,0.927
1500,0.3,1,0.829
1600,0.3,1,0.625
1700,0.3,1,0.415
1800,0.3,1,0.233
1900,0.3,1,0.126
2000,0.3,1,0.049
2100,0.3,1,0.022
2200,0.3,1,0.004
2300,0.3,1,0.003
2400,0.3,1,0.001
2500,0.3,1,0.001
2600,0.3,1,0
2700,0.3,1,0
2800,0.3,1,0
2900,0.3,1,0
3000,0.3,1,0
500,0.31,1,0
600,0.31,1,0
700,0.31,1,0.004
800,0.31,1,0.148
900,0.31,1,0.638
1000,0.31,1,0.957
1100,0.31,1,0.998
1200,0.31,1,0.992
1300,0.31,1,0.921
1400,0.31,1,0.81
1500,0.31,1,0.617
1600,0.31,1,0.405
1700,0.31,1,0.236
1800,0.31,1,0.093
1900,0.31,1,0.029
2000,0.31,1,0.00900000000000001
2100,0.31,1,0.003
2200,0.31,1,0.001
2300,0.31,1,0
2400,0.31,1,0
2500,0.31,1,0
2600,0.31,1,0
2700,0.31,1,0
2800,0.31,1,0
2900,0.31,1,0
3000,0.31,1,0
500,0.32,1,0
600,0.32,1,0.001
700,0.32,1,0.029
800,0.32,1,0.349
900,0.32,1,0.886
1000,0.32,1,0.998
1100,0.32,1,0.985
1200,0.32,1,0.941
1300,0.32,1,0.824
1400,0.32,1,0.613
1500,0.32,1,0.374
1600,0.32,1,0.173
1700,0.32,1,0.0570000000000001
1800,0.32,1,0.03
1900,0.32,1,0.005
2000,0.32,1,0
2100,0.32,1,0.001
2200,0.32,1,0
2300,0.32,1,0
2400,0.32,1,0
2500,0.32,1,0
2600,0.32,1,0
2700,0.32,1,0
2800,0.32,1,0
2900,0.32,1,0
3000,0.32,0.998,0
500,0.33,1,0
600,0.33,1,0.002
700,0.33,1,0.109
800,0.33,1,0.627
900,0.33,1,0.965
