"n","kappa0","type1_error","type2_error"
1700,0.34,0,0
1800,0.34,0,0
1900,0.34,0,0
2000,0.34,0,0
2100,0.34,0,0
2200,0.34,0,0
2300,0.34,0,0
2400,0.34,0,0
2500,0.34,0,0
2600,0.34,0,0
2700,0.34,0,0
2800,0.34,0,0
2900,0.34,0,0
3000,0.34,0,0
500,0.35,0.808,0
600,0.35,0.002,0
700,0.35,0,0
800,0.35,0,0
900,0.35,0,0
1000,0.35,0,0
1100,0.35,0,0
1200,0.35,0,0
1300,0.35,0,0
1400,0.35,0,0
1500,0.35,0,0
1600,0.35,0,0
1700,0.35,0,0
1800,0.35,0,0
1900,0.35,0,0
2000,0.35,0,0
2100,0.35,0,0
2200,0.35,0,0
2300,0.35,0,0
2400,0.35,0,0
2500,0.35,0,0
2600,0.35,0,0
2700,0.35,0,0
2800,0.35,0,0
2900,0.35,0,0
3000,0.35,0,0
500,0.36,0.64,0
600,0.36,0,0
700,0.36,0,0
800,0.36,0,0
900,0.36,0,0
1000,0.36,0,0
1100,0.36,0,0
1200,0.36,0,0
1300,0.36,0,0
1400,0.36,0,0
1500,0.36,0,0
1600,0.36,0,0
1700,0.36,0,0
1800,0.36,0,0
1900,0.36,0,0
2000,0.36,0,0
2100,0.36,0,0
2200,0.36,0,0
2300,0.36,0,0
2400,0.36,0,0
2500,0.36,0,0
2600,0.36,0,0
2700,0.36,0,0
2800,0.36,0,0
2900,0.36,0,0
3000,0.36,0,0
500,0.37,0.404,0
600,0.37,0,0
700,0.37,0,0
800,0.37,0,0
900,0.37,0,0
1000,0.37,0,0
1100,0.37,0,0
1200,0.37,0,0
1300,0.37,0,0
1400,0.37,0,0
1500,0.37,0,0
1600,0.37,0,0
1700,0.37,0,0
1800,0.37,0,0
1900,0.37,0,0
2000,0.37,0,0
2100,0.37,0,0
2200,0.37,0,0
2300,0.37,0,0
2400,0.37,0,0
2500,0.37,0,0
2600,0.37,0,0
2700,0.37,0,0
2800,0.37,0,0
2900,0.37,0,0
3000,0.37,0,0
500,0.38,0.193,0
600,0.38,0,0
700,0.38,0,0
800,0.38,0,0
900,0.38,0,0
1000,0.38,0,0
1100,0.38,0,0
1200,0.38,0,0
1300,0.38,0,0
1400,0.38,0,0
1500,0.38,0,0
1600,0.38,0,0
1700,0.38,0,0
1800,0.38,0,0
1900,0.38,0,0
2000,0.38,0,0
2100,0.38,0,0
2200,0.38,0,0
2300,0.38,0,0
2400,0.38,0,0
2500,0.38,0,0
2600,0.38,0,0
2700,0.38,0,0
2800,0.38,0,0
2900,0.38,0,0
3000,0.38,0,0
500,0.39,0.051,0
600,0.39,0,0
700,0.39,0,0
800,0.39,0,0
900,0.39,0,0
1000,0.39,0,0
1100,0.39,0,0
1200,0.39,0,0
1300,0.39,0,0
1400,0.39,0,0
1500,0.39,0,0
1600,0.39,0,0
1700,0.39,0,0
1800,0.39,0,0
1900,0.39,0,0
2000,0.39,0,0
2100,0.39,0,0
2200,0.39,0,0
2300,0.39,0,0
2400,0.39,0,0
2500,0.39,0,0
2600,0.39,0,0
2700,0.39,0,0
2800,0.39,0,0
2900,0.39,0,0
3000,0.39,0,0
500,0.4,0.003,0
600,0.4,0,0
700,0.4,0,0
800,0.4,0,0
900,0.4,0,0
1000,0.4,0,0
1100,0.4,0,0
1200,0.4,0,0
1300,0.4,0,0
1400,0.4,0,0
1500,0.4,0,0
1600,0.4,0,0
1700,0.4,0,0
1800,0.4,0,0
1900,0.4,0,0
2000,0.4,0,0
2100,0.4,0,0
2200,0.4,0,0
2300,0.4,0,0
2400,0.4,0,0
2500,0.4,0,0
2600,0.4,0,0
2700,0.4,0,0
2800,0.4,0,0
2900,0.4,0,0
3000,0.4,0,0
500,0.05,1,0
600,0.05,1,0
700,0.05,1,0
800,0.05,1,0
900,0.05,1,0
1000,0.05,1,0
1100,0.05,1,0
1200,0.05,1,0
1300,0.05,1,0
1400,0.05,1,0
1500,0.05,1,0
1600,0.05,1,0.001
1700,0.05,1,0.003
1800,0.05,1,0.001
1900,0.05,1,0.00900000000000001
2000,0.05,1,0.00700000000000001
2100,0.05,1,0.00800000000000001
2200,0.05,1,0.016
2300,0.05,1,0.014
2400,0.05,1,0.019
2500,0.05,1,0.021
2600,0.05,1,0.04
2700,0.05,1,0.039
2800,0.05,1,0.045
2900,0.05,1,0.0610000000000001
3000,0.05,1,0.086
500,0.06,1,0
600,0.06,1,0
700,0.06,1,0
800,0.06,1,0
900,0.06,1,0.001
1000,0.06,1,0
1100,0.06,1,0
1200,0.06,1,0.005
1300,0.06,1,0.00700000000000001
1400,0.06,1,0.003
1500,0.06,1,0.02
1600,0.06,1,0.036
1700,0.06,1,0.045
1800,0.06,1,0.078
1900,0.06,1,0.088
2000,0.06,1,0.088
2100,0.06,1,0.154
2200,0.06,1,0.191
2300,0.06,1,0.217
2400,0.06,1,0.252
2500,0.06,1,0.308
2600,0.06,1,0.342
2700,0.06,1,0.416
2800,0.06,1,0.404
2900,0.06,1,0.476
3000,0.06,1,0.507
500,0.07,1,0
600,0.07,1,0
700,0.07,1,0
800,0.07,1,0
900,0.07,1,0.00700000000000001
1000,0.07,1,0.015
1100,0.07,1,0.027
1200,0.07,1,0.054
1300,0.07,1,0.055
1400,0.07,1,0.123
1500,0.07,1,0.145
1600,0.07,1,0.213
1700,0.07,1,0.305
1800,0.07,1,0.37
1900,0.07,1,0.443
2000,0.07,1,0.516
2100,0.07,1,0.576
2200,0.07,1,0.595
2300,0.07,1,0.69
2400,0.07,1,0.703
2500,0.07,1,0.729
2600,0.07,1,0.747
2700,0.07,1,0.741
2800,0.07,1,0.759
2900,0.07,1,0.76
3000,0.07,1,0.744
500,0.08,1,0
600,0.08,1,0.001
700,0.08,1,0.00600000000000001
800,0.08,1,0.016
900,0.08,1,0.043
1000,0.08,1,0.093
1100,0.08,1,0.144
1200,0.08,1,0.206
1300,0.08,1,0.318
1400,0.08,1,0.44
1500,0.08,1,0.544
1600,0.08,1,0.614
1700,0.08,1,0.677
1800,0.08,1,0.717
1900,0.08,1,0.757
2000,0.08,1,0.738
2100,0.08,1,0.729
2200,0.08,1,0.735
2300,0.08,1,0.704
2400,0.08,1,0.659
2500,0.08,1,0.608
2600,0.08,1,0.582
2700,0.08,1,0.548
2800,0.08,1,0.52
2900,0.08,1,0.479
3000,0.08,1,0.437
500,0.09,1,0.003
600,0.09,1,0.00800000000000001
700,0.09,1,0.037
800,0.09,1,0.084
900,0.09,1,0.156
1000,0.09,1,0.301
1100,0.09,1,0.43
1200,0.09,1,0.552
1300,0.09,1,0.68
1400,0.09,1,0.689
1500,0.09,1,0.742
1600,0.09,1,0.747
1700,0.09,1,0.721
1800,0.09,1,0.66
1900,0.09,1,0.635
2000,0.09,1,0.534
2100,0.09,1,0.479
2200,0.09,1,0.467
2300,0.09,1,0.384
2400,0.09,1,0.336
2500,0.09,1,0.29
2600,0.09,1,0.258
2700,0.09,1,0.213
2800,0.09,1,0.204
2900,0.09,1,0.162
3000,0.09,1,0.119
500,0.1,1,0.012
600,0.1,1,0.0580000000000001
700,0.1,1,0.147
800,0.1,1,0.309
900,0.1,1,0.468
1000,0.1,1,0.574
1100,0.1,1,0.706
1200,0.1,1,0.71
1300,0.1,1,0.712
1400,0.1,1,0.648
1500,0.1,1,0.588
1600,0.1,1,0.502
1700,0.1,1,0.41
1800,0.1,1,0.376
1900,0.1,1,0.28
2000,0.1,1,0.26
2100,0.1,1,0.245
2200,0.1,1,0.133
2300,0.1,1,0.133
2400,0.1,1,0.088
2500,0.1,1,0.079
2600,0.1,1,0.0570000000000001
2700,0.1,1,0.047
2800,0.1,1,0.038
2900,0.1,0.998,0.028
3000,0.1,0.999,0.025
500,0.11,1,0.047
600,0.11,1,0.134
700,0.11,1,0.381
800,0.11,1,0.576
900,0.11,1,0.647
1000,0.11,1,0.709
1100,0.11,1,0.668
1200,0.11,1,0.566
1300,0.11,1,0.462
1400,0.11,1,0.38
1500,0.11,1,0.312
1600,0.11,1,0.207
1700,0.11,1,0.159
1800,0.11,1,0.127
1900,0.11,1,0.091
2000,0.11,1,0.069
2100,0.11,1,0.04
2200,0.11,1,0.037
2300,0.11,1,0.017
2400,0.11,0.999,0.021
2500,0.11,0.999,0.017
2600,0.11,0.999,0.011
2700,0.11,0.992,0.00700000000000001
2800,0.11,0.985,0.003
2900,0.11,0.963,0.001
3000,0.11,0.892,0.002
500,0.12,1,0.143
600,0.12,1,0.37
700,0.12,1,0.58
800,0.12,1,0.665
900,0.12,1,0.611
1000,0.12,1,0.563
1100,0.12,1,0.414
1200,0.12,1,0.314
1300,0.12,1,0.214
1400,0.12,1,0.174
1500,0.12,1,0.096
1600,0.12,1,0.077
1700,0.12,1,0.0649999999999999
1800,0.12,1,0.029
1900,0.12,1,0.019
2000,0.12,1,0.018
2100,0.12,1,0.00800000000000001
2200,0.12,0.998,0.002
2300,0.12,0.994,0.004
2400,0.12,0.982,0.001
2500,0.12,0.955,0
2600,0.12,0.892,0.002
2700,0.12,0.719,0
2800,0.12,0.499,0
2900,0.12,0.225,0
3000,0.12,0.043,0
500,0.13,1,0.33
600,0.13,1,0.57
700,0.13,1,0.653
800,0.13,1,0.563
900,0.13,1,0.452
1000,0.13,1,0.31
1100,0.13,1,0.207
1200,0.13,1,0.151
1300,0.13,1,0.087
1400,0.13,1,0.045
1500,0.13,1,0.02
1600,0.13,1,0.02
1700,0.13,1,0.011
1800,0.13,1,0.005
1900,0.13,0.999,0.002
2000,0.13,0.997,0.001
2100,0.13,0.982,0.001
2200,0.13,0.941,0.001
2300,0.13,0.849,0
2400,0.13,0.624,0
2500,0.13,0.318,0
2600,0.13,0.062,0
2700,0.13,0.001,0.001
2800,0.13,0,0
2900,0.13,0,0
3000,0.13,0,0
500,0.14,1,0.495
600,0.14,1,0.606
700,0.14,1,0.545
800,0.14,1,0.373
900,0.14,1,0.256
1000,0.14,1,0.15
1100,0.14,1,0.07
1200,0.14,1,0.027
1300,0.14,1,0.022
1400,0.14,1,0.005
1500,0.14,0.999,0.01
1600,0.14,0.999,0
1700,0.14,0.997,0.001
1800,0.14,0.993,0
1900,0.14,0.957,0
2000,0.14,0.878,0
2100,0.14,0.702,0
2200,0.14,0.322,0
2300,0.14,0.065,0
2400,0.14,0,0
2500,0.14,0,0
2600,0.14,0,0
2700,0.14,0,0
2800,0.14,0,0
2900,0.14,0,0
3000,0.14,0,0
500,0.15,1,0.558
600,0.15,1,0.521
700,0.15,1,0.335
800,0.15,1,0.194
900,0.15,0.999,0.097
1000,0.15,1,0.041
1100,0.15,1,0.014
1200,0.15,1,0.00700000000000001
1300,0.15,1,0.011
1400,0.15,1,0.001
1500,0.15,0.996,0.001
1600,0.15,0.988,0
1700,0.15,0.967,0.001
1800,0.15,0.828,0
1900,0.15,0.565,0
2000,0.15,0.165,0
2100,0.15,0.008,0
2200,0.15,0,0
2300,0.15,0,0
2400,0.15,0,0
2500,0.15,0,0
2600,0.15,0,0
2700,0.15,0,0
2800,0.15,0,0
2900,0.15,0,0
3000,0.15,0,0
