"snr","trial","stoppingT"
0.02,"V92",2400
0.02,"V93",2400
0.02,"V94",2400
0.02,"V95",2400
0.02,"V96",2400
0.02,"V97",2400
0.02,"V98",2400
0.02,"V99",2400
0.02,"V100",2400
0.02,"V101",2400
0.02,"V102",2400
0.02,"V103",2091
0.02,"V104",2400
0.02,"V105",2400
0.02,"V106",2400
0.02,"V107",1060
0.02,"V108",2400
0.02,"V109",2400
0.02,"V110",2400
0.02,"V111",2400
0.02,"V112",2400
0.02,"V113",2400
0.02,"V114",2400
0.02,"V115",2400
0.02,"V116",2400
0.02,"V117",2400
0.02,"V118",2400
0.02,"V119",2400
0.02,"V120",1512
0.02,"V121",2400
0.02,"V122",2400
0.02,"V123",2400
0.02,"V124",19
0.02,"V125",2400
0.02,"V126",1882
0.02,"V127",2400
0.02,"V128",2400
0.02,"V129",2400
0.02,"V130",2400
0.02,"V131",2400
0.02,"V132",2400
0.02,"V133",2400
0.02,"V134",2400
0.02,"V135",2400
0.02,"V136",2400
0.02,"V137",2400
0.02,"V138",2400
0.02,"V139",2400
0.02,"V140",2400
0.02,"V141",2400
0.02,"V142",1945
0.02,"V143",2400
0.02,"V144",2400
0.02,"V145",2400
0.02,"V146",1274
0.02,"V147",2400
0.02,"V148",2400
0.02,"V149",2400
0.02,"V150",2400
0.02,"V151",2400
0.02,"V152",2400
0.02,"V153",2400
0.02,"V154",2400
0.02,"V155",2400
0.02,"V156",2400
0.02,"V157",2400
0.02,"V158",2400
0.02,"V159",2400
0.02,"V160",2400
0.02,"V161",29
0.02,"V162",2180
0.02,"V163",4
0.02,"V164",2400
0.02,"V165",2400
0.02,"V166",2400
0.02,"V167",2400
0.02,"V168",2400
0.02,"V169",2400
0.02,"V170",2400
0.02,"V171",2400
0.02,"V172",2400
0.02,"V173",2400
0.02,"V174",239
0.02,"V175",1295
0.02,"V176",2400
0.02,"V177",2400
0.02,"V178",2400
0.02,"V179",149
0.02,"V180",2400
0.02,"V181",2400
0.02,"V182",2400
0.02,"V183",2400
0.02,"V184",2400
0.02,"V185",56
0.02,"V186",2400
0.02,"V187",2124
0.02,"V188",502
0.02,"V189",2400
0.02,"V190",2400
0.02,"V191",2400
0.02,"V192",2400
0.02,"V193",2400
0.02,"V194",1889
0.02,"V195",32
0.02,"V196",2400
0.02,"V197",2400
0.02,"V198",2400
0.02,"V199",2400
0.02,"V200",2400
0.04,"V1",2169
0.04,"V2",1181
0.04,"V3",2400
0.04,"V4",2400
0.04,"V5",1224
0.04,"V6",2400
0.04,"V7",1102
0.04,"V8",2400
0.04,"V9",2400
0.04,"V10",2400
0.04,"V11",2400
0.04,"V12",2400
0.04,"V13",2400
0.04,"V14",1224
0.04,"V15",47
0.04,"V16",2400
0.04,"V17",2400
0.04,"V18",2400
0.04,"V19",2400
0.04,"V20",2400
0.04,"V21",1778
0.04,"V22",2400
0.04,"V23",2400
0.04,"V24",2400
0.04,"V25",1323
0.04,"V26",1365
0.04,"V27",2400
0.04,"V28",1880
0.04,"V29",2400
0.04,"V30",1912
0.04,"V31",942
0.04,"V32",2400
0.04,"V33",2400
0.04,"V34",2400
0.04,"V35",1920
0.04,"V36",2400
0.04,"V37",3
0.04,"V38",2400
0.04,"V39",2400
0.04,"V40",1460
0.04,"V41",2400
0.04,"V42",2400
0.04,"V43",2400
0.04,"V44",2400
0.04,"V45",2400
0.04,"V46",2400
0.04,"V47",2400
0.04,"V48",2400
0.04,"V49",2400
0.04,"V50",2400
0.04,"V51",26
0.04,"V52",2400
0.04,"V53",2400
0.04,"V54",2400
0.04,"V55",2400
0.04,"V56",2010
0.04,"V57",1640
0.04,"V58",2400
0.04,"V59",2400
0.04,"V60",2400
0.04,"V61",2400
0.04,"V62",2400
0.04,"V63",2364
0.04,"V64",2177
0.04,"V65",2400
0.04,"V66",2400
0.04,"V67",2400
0.04,"V68",2400
0.04,"V69",2400
0.04,"V70",1483
0.04,"V71",2400
0.04,"V72",2400
0.04,"V73",2400
0.04,"V74",2400
0.04,"V75",2400
0.04,"V76",2400
0.04,"V77",2400
0.04,"V78",18
0.04,"V79",2400
0.04,"V80",2188
0.04,"V81",893
0.04,"V82",2400
0.04,"V83",2400
0.04,"V84",2400
0.04,"V85",2400
0.04,"V86",2400
0.04,"V87",2400
0.04,"V88",2400
0.04,"V89",2400
0.04,"V90",2400
0.04,"V91",2400
0.04,"V92",1225
0.04,"V93",1215
0.04,"V94",2400
0.04,"V95",1212
0.04,"V96",1755
0.04,"V97",1041
0.04,"V98",2400
0.04,"V99",1729
0.04,"V100",33
0.04,"V101",1356
0.04,"V102",2400
0.04,"V103",2400
0.04,"V104",1295
0.04,"V105",46
0.04,"V106",2400
0.04,"V107",2400
0.04,"V108",2400
0.04,"V109",2400
0.04,"V110",2400
0.04,"V111",2400
0.04,"V112",505
0.04,"V113",2400
0.04,"V114",2400
0.04,"V115",2400
0.04,"V116",2400
0.04,"V117",2400
0.04,"V118",2400
0.04,"V119",2400
0.04,"V120",1242
0.04,"V121",2400
0.04,"V122",868
0.04,"V123",2400
0.04,"V124",2057
0.04,"V125",2400
0.04,"V126",1393
0.04,"V127",2400
0.04,"V128",902
0.04,"V129",2400
0.04,"V130",912
0.04,"V131",2400
0.04,"V132",2400
0.04,"V133",1143
0.04,"V134",2400
0.04,"V135",2400
0.04,"V136",2400
0.04,"V137",2400
0.04,"V138",2400
0.04,"V139",1399
0.04,"V140",2400
0.04,"V141",168
0.04,"V142",2400
0.04,"V143",2400
0.04,"V144",2400
0.04,"V145",2400
0.04,"V146",2400
0.04,"V147",2400
0.04,"V148",1875
0.04,"V149",2400
0.04,"V150",2400
0.04,"V151",2400
0.04,"V152",2400
0.04,"V153",2400
0.04,"V154",2400
0.04,"V155",2400
0.04,"V156",2
0.04,"V157",21
0.04,"V158",2400
0.04,"V159",2400
0.04,"V160",130
0.04,"V161",2400
0.04,"V162",2400
0.04,"V163",878
0.04,"V164",2400
0.04,"V165",2400
0.04,"V166",2400
0.04,"V167",1252
0.04,"V168",1440
0.04,"V169",2400
0.04,"V170",2400
0.04,"V171",1574
0.04,"V172",2156
0.04,"V173",2400
0.04,"V174",2400
0.04,"V175",2400
0.04,"V176",2400
0.04,"V177",2400
0.04,"V178",2400
0.04,"V179",1419
