"snr","trial","stoppingT"
0.02,"V93",2401
0.02,"V94",462
0.02,"V95",2401
0.02,"V96",2401
0.02,"V97",2401
0.02,"V98",1401
0.02,"V99",2401
0.02,"V100",2401
0.02,"V101",2401
0.02,"V102",2401
0.02,"V103",2401
0.02,"V104",2401
0.02,"V105",2401
0.02,"V106",2401
0.02,"V107",1330
0.02,"V108",2401
0.02,"V109",2401
0.02,"V110",2401
0.02,"V111",2401
0.02,"V112",2297
0.02,"V113",2401
0.02,"V114",2401
0.02,"V115",2401
0.02,"V116",2401
0.02,"V117",2401
0.02,"V118",2401
0.02,"V119",2401
0.02,"V120",644
0.02,"V121",2401
0.02,"V122",2401
0.02,"V123",2401
0.02,"V124",1638
0.02,"V125",2401
0.02,"V126",2401
0.02,"V127",2401
0.02,"V128",2401
0.02,"V129",2401
0.02,"V130",2401
0.02,"V131",2401
0.02,"V132",727
0.02,"V133",2401
0.02,"V134",2401
0.02,"V135",2401
0.02,"V136",2401
0.02,"V137",2401
0.02,"V138",2401
0.02,"V139",1393
0.02,"V140",2401
0.02,"V141",2401
0.02,"V142",2401
0.02,"V143",2401
0.02,"V144",896
0.02,"V145",2401
0.02,"V146",2401
0.02,"V147",2401
0.02,"V148",2401
0.02,"V149",2401
0.02,"V150",2401
0.02,"V151",2401
0.02,"V152",2401
0.02,"V153",2401
0.02,"V154",2401
0.02,"V155",2401
0.02,"V156",2401
0.02,"V157",2401
0.02,"V158",1724
0.02,"V159",2401
0.02,"V160",2401
0.02,"V161",2401
0.02,"V162",1565
0.02,"V163",2342
0.02,"V164",1718
0.02,"V165",2401
0.02,"V166",1322
0.02,"V167",2401
0.02,"V168",2401
0.02,"V169",2401
0.02,"V170",2401
0.02,"V171",2401
0.02,"V172",1795
0.02,"V173",2401
0.02,"V174",287
0.02,"V175",352
0.02,"V176",2401
0.02,"V177",2401
0.02,"V178",2401
0.02,"V179",1304
0.02,"V180",2401
0.02,"V181",2401
0.02,"V182",2401
0.02,"V183",2401
0.02,"V184",951
0.02,"V185",2401
0.02,"V186",2401
0.02,"V187",2401
0.02,"V188",844
0.02,"V189",619
0.02,"V190",2401
0.02,"V191",2401
0.02,"V192",2401
0.02,"V193",2401
0.02,"V194",1148
0.02,"V195",2401
0.02,"V196",2401
0.02,"V197",2401
0.02,"V198",2401
0.02,"V199",2401
0.02,"V200",2401
0.04,"V1",2401
0.04,"V2",2401
0.04,"V3",1357
0.04,"V4",2401
0.04,"V5",2401
0.04,"V6",202
0.04,"V7",824
0.04,"V8",941
0.04,"V9",2401
0.04,"V10",2401
0.04,"V11",2401
0.04,"V12",2401
0.04,"V13",1327
0.04,"V14",508
0.04,"V15",2246
0.04,"V16",187
0.04,"V17",1898
0.04,"V18",2401
0.04,"V19",2401
0.04,"V20",2306
0.04,"V21",2401
0.04,"V22",2401
0.04,"V23",238
0.04,"V24",2401
0.04,"V25",1244
0.04,"V26",2401
0.04,"V27",2401
0.04,"V28",725
0.04,"V29",613
0.04,"V30",845
0.04,"V31",502
0.04,"V32",947
0.04,"V33",2125
0.04,"V34",1688
0.04,"V35",2401
0.04,"V36",977
0.04,"V37",1439
0.04,"V38",869
0.04,"V39",290
0.04,"V40",1988
0.04,"V41",953
0.04,"V42",2401
0.04,"V43",2401
0.04,"V44",2401
0.04,"V45",2401
0.04,"V46",2401
0.04,"V47",1489
0.04,"V48",2401
0.04,"V49",664
0.04,"V50",2401
0.04,"V51",981
0.04,"V52",2379
0.04,"V53",2401
0.04,"V54",2401
0.04,"V55",668
0.04,"V56",2401
0.04,"V57",1220
0.04,"V58",2401
0.04,"V59",2401
0.04,"V60",2401
0.04,"V61",1053
0.04,"V62",1208
0.04,"V63",2401
0.04,"V64",2401
0.04,"V65",1587
0.04,"V66",1118
0.04,"V67",719
0.04,"V68",2401
0.04,"V69",2401
0.04,"V70",2401
0.04,"V71",2401
0.04,"V72",2401
0.04,"V73",2401
0.04,"V74",2401
0.04,"V75",2401
0.04,"V76",2401
0.04,"V77",1673
0.04,"V78",2401
0.04,"V79",171
0.04,"V80",2401
0.04,"V81",917
0.04,"V82",926
0.04,"V83",1004
0.04,"V84",2401
0.04,"V85",732
0.04,"V86",2401
0.04,"V87",2401
0.04,"V88",1184
0.04,"V89",1109
0.04,"V90",1170
0.04,"V91",2401
0.04,"V92",2401
0.04,"V93",574
0.04,"V94",2401
0.04,"V95",2401
0.04,"V96",522
0.04,"V97",2401
0.04,"V98",2401
0.04,"V99",2401
0.04,"V100",1452
0.04,"V101",2401
0.04,"V102",300
0.04,"V103",2401
0.04,"V104",1051
0.04,"V105",407
0.04,"V106",705
0.04,"V107",843
0.04,"V108",2401
0.04,"V109",894
0.04,"V110",1225
0.04,"V111",2401
0.04,"V112",1463
0.04,"V113",812
0.04,"V114",2401
0.04,"V115",698
0.04,"V116",2401
0.04,"V117",2401
0.04,"V118",2401
0.04,"V119",2401
0.04,"V120",1513
0.04,"V121",2401
0.04,"V122",2401
0.04,"V123",2401
0.04,"V124",2401
0.04,"V125",2401
0.04,"V126",2401
0.04,"V127",324
0.04,"V128",2401
0.04,"V129",2401
0.04,"V130",2222
0.04,"V131",262
0.04,"V132",2401
0.04,"V133",1155
0.04,"V134",2401
0.04,"V135",118
0.04,"V136",2089
0.04,"V137",2401
0.04,"V138",176
0.04,"V139",946
0.04,"V140",722
0.04,"V141",2401
0.04,"V142",2401
0.04,"V143",1068
0.04,"V144",614
0.04,"V145",2401
0.04,"V146",136
0.04,"V147",2158
0.04,"V148",678
0.04,"V149",2401
0.04,"V150",2401
0.04,"V151",2401
0.04,"V152",2291
0.04,"V153",1179
0.04,"V154",2401
0.04,"V155",2401
0.04,"V156",1686
0.04,"V157",1814
0.04,"V158",1920
0.04,"V159",1588
0.04,"V160",736
0.04,"V161",2401
0.04,"V162",2401
0.04,"V163",2401
0.04,"V164",2401
0.04,"V165",2046
0.04,"V166",181
0.04,"V167",1125
0.04,"V168",498
0.04,"V169",1327
0.04,"V170",2401
0.04,"V171",2401
0.04,"V172",2401
0.04,"V173",735
0.04,"V174",1845
0.04,"V175",908
0.04,"V176",2401
0.04,"V177",2401
0.04,"V178",206
0.04,"V179",1110
0.04,"V180",2219
0.04,"V181",2401
