-1.0,-1.0,-1.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0
28.0,-1.0,1872.0,-1.0,588.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,64.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1199.0,1994.0,-1.0,-1.0,1389.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1376.0,-1.0,-1.0,-1.0,1368.0
-1.0,2255.0,-1.0,-1.0,-1.0,1034.0,-1.0,-1.0,9.0,1145.0
-1.0,-1.0,1043.0,-1.0,-1.0,1043.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,31.0,2291.0,-1.0,1066.0,-1.0,2026.0,-1.0,-1.0
-1.0,-1.0,-1.0,443.0,-1.0,-1.0,-1.0,1257.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,1144.0,837.0,-1.0,1057.0,1741.0,-1.0
-1.0,-1.0,-1.0,-1.0,8.0,1582.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,838.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1434.0,41.0,-1.0,2224.0,-1.0,-1.0,-1.0,-1.0,-1.0
2127.0,1268.0,128.0,-1.0,-1.0,-1.0,777.0,-1.0,1299.0,1532.0
1296.0,1663.0,-1.0,1236.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,1734.0,-1.0,-1.0,-1.0,-1.0,-1.0,1418.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,23.0,-1.0,-1.0,-1.0,-1.0,1618.0,-1.0,1083.0,-1.0
